Date,AAPL,AMZN,BAC,GOOGL,JPM,META,MSFT,NFLX,NVDA,SPY,TSLA
2019-08-08,108038000,74024000,53141900,30116000,10903300,14828900,27496500,5905900,309300000,87713900,79114500
2019-08-09,98478800,57596000,53499600,20418000,9980800,11058800,23466700,5349100,341816000,93730000,58473000
2019-08-12,89927600,58110000,55674700,22064000,9393700,10930900,20484300,6531700,279200000,65527600,69958500
2019-08-13,188874000,79880000,69919200,28434000,12124700,13577000,25154600,5289400,351956000,94299800,72721500
2019-08-14,146189600,97872000,106591700,35430000,19491800,18903700,32527300,7355800,419880000,135622100,143439000
2019-08-15,108909600,75182000,70192000,28506000,13365600,12925900,28074400,9629200,477200000,99556600,122394000
2019-08-16,110481600,60360000,70841700,24916000,11830600,12654600,24449100,6905800,1007960000,83018300,76477500
2019-08-19,97654400,56326000,44964800,24450000,8265400,9691200,24355700,4942200,815112000,53571800,79644000
2019-08-20,107537200,38590000,47665000,20206000,8374000,10083400,21170800,7349900,463188000,51596400,61878000
2019-08-21,86141600,40636000,47785400,14152000,8189300,8398200,14970300,5685400,427244000,49524700,116914500
2019-08-22,89014800,53070000,49353700,17352000,9343400,10821400,18697000,4974200,303488000,51666400,98385000
2019-08-23,187272000,105416000,81880700,36254000,14762300,17323400,38508600,6324900,568056000,149161500,128079000
2019-08-26,104174400,61600000,41499100,21166000,8209500,8773600,20312600,4695700,318208000,72423800,75778500
2019-08-27,103493200,60394000,52517000,23460000,14331800,14399600,23102100,6309400,290968000,66668900,81243000
2019-08-28,63755200,48394000,45897900,16810000,10585500,9386100,17393300,3955700,255612000,59696700,48382500
2019-08-29,83962000,60302000,55432900,19636000,10002200,10128700,20168700,4388500,357976000,57899400,77692500
2019-08-30,84573600,61174000,41326200,18064000,10170300,10774500,23940100,4446400,290616000,62901200,139809000
2019-09-03,80092000,70860000,50743100,25908000,9868800,9779400,18869300,3682800,296140000,69101400,80311500
2019-09-04,76752400,46482000,40862500,21312000,6929200,11308000,17995900,4652500,227728000,46887300,86415000
2019-09-05,95654800,66216000,63413700,26394000,13224700,13876700,26101800,8966800,695676000,83258100,110929500
2019-09-06,77449200,49938000,56054100,18972000,7836600,15226800,20824500,5166600,376976000,49584300,62841000
2019-09-09,109237600,59990000,68629300,31854000,13985100,14722400,25773900,8232700,417524000,51260300,72040500
2019-09-10,127111600,52278000,71066200,27922000,14333100,15455900,28903400,12320200,352812000,57947100,73255500
2019-09-11,177158400,48656000,53982200,23522000,9919200,11761700,24726100,7405900,361512000,68821100,150642000
